City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,82.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Guerrero Negro,MX,80.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
8,Panama City,PA,87.13,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
10,Corn Island,NI,82.62,overcast clouds,12.1694,-83.0418,Big Fish Guest House
13,Kamsack,CA,77.72,clear sky,51.5667,-101.9009,Liquor Store Kamsack & Woodlander Hotel
15,Kutum,SD,79.29,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
34,Padang,ID,76.82,overcast clouds,-0.9492,100.3543,Mercure Padang
38,Georgetown,MY,81.95,thunderstorm,5.4112,100.3354,Cititel Penang
42,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Sibolga,ID,76.41,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
46,Kavieng,PG,81.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
48,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
66,Faanui,PF,78.28,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Doha,QA,88.11,clear sky,25.2867,51.5333,Mövenpick Doha
74,Cayhagan,PH,77.95,overcast clouds,9.6697,122.4256,Melrose Beach Resort
84,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
94,Buala,SB,78.39,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
95,Meadow Lake,US,78.67,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
106,Piracanjuba,BR,85.69,overcast clouds,-17.3028,-49.0167,Casas Luci
112,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
114,Half Moon Bay,US,78.82,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
124,Atuona,PF,76.66,scattered clouds,-9.8,-139.0333,Villa Enata
128,Sao Filipe,CV,80.49,clear sky,14.8961,-24.4956,Hotel Xaguate
130,Umm Lajj,SA,85.73,clear sky,25.0213,37.2685,Moon light Furnished Units
133,Matara,LK,77.25,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
134,Pacific Grove,US,77.38,clear sky,36.6177,-121.9166,Lovers Point Inn
143,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Central
147,Eyl,SO,77.68,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
149,Kirakira,SB,78.31,few clouds,-10.4544,161.9205,SanBiz Lodge
152,Dickinson,US,85.01,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
153,Dafeng,CN,76.12,overcast clouds,23.4517,108.5881,Shenglong Hotel
160,Bubaque,GW,80.6,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
162,Acapulco,MX,84.81,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
163,Ewa Beach,US,83.41,few clouds,21.3156,-158.0072,Base Lodging
164,Axim,GH,75.52,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
166,Luorong,CN,79.45,overcast clouds,24.4058,109.6086,荣立大酒店
168,Misratah,LY,79.09,clear sky,32.3754,15.0925,Almasa Hotel
172,Hobyo,SO,77.0,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
174,Balikpapan,ID,77.99,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
181,Koungheul,SN,86.79,scattered clouds,13.9833,-14.8,hotel le PARADIS
184,Saint George,US,86.79,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
188,San Quintin,MX,76.6,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
189,Benghazi,LY,81.0,overcast clouds,32.1167,20.0667,Tibesti Hotel
191,Kudahuvadhoo,MV,78.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
201,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
213,Taungdwingyi,MM,77.52,light rain,20.0167,95.55,NayNaing MobileService
216,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
218,Kalmunai,LK,79.79,scattered clouds,7.4167,81.8167,VS Villa
219,Ambulu,ID,76.35,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
227,Kloulklubed,PW,83.93,clear sky,7.0419,134.2556,Storyboard Beach Resort
229,Mahibadhoo,MV,79.9,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
235,Laguna,US,85.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
242,Rawson,AR,75.69,clear sky,-43.3002,-65.1023,Hosteria Sampedro
245,Mangrol,IN,79.32,clear sky,21.1167,70.1167,Hotel The Royal Honours
252,Praia,CV,82.35,clear sky,14.9215,-23.5087,LT Aparthotel
263,South Valley,US,81.21,clear sky,35.0101,-106.6781,desert palms rv park
266,Namatanai,PG,77.61,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
272,Salalah,OM,79.75,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
278,Placido De Castro,BR,82.42,broken clouds,-10.3353,-67.1856,Hotel Carioca
279,Trairi,BR,81.97,few clouds,-3.2778,-39.2689,janelas do mar
285,Harrison,US,77.05,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
288,Lompoc,US,88.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
291,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
292,Aquidauana,BR,77.7,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
294,Catuday,PH,79.36,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
295,Sola,VU,80.08,broken clouds,-13.8833,167.55,Leumerus Bungalows
300,Bosaso,SO,85.95,clear sky,11.2842,49.1816,Red Sea Hotel
307,Rosetta,EG,79.52,clear sky,31.4044,30.4164,Green Valley
312,Acajutla,SV,83.61,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
313,Chabahar,IR,79.65,few clouds,25.2919,60.643,هتل گدروشیا
325,Itarema,BR,82.49,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
326,Port Blair,IN,81.03,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
328,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
333,Pishva,IR,82.45,clear sky,35.308,51.7267,شهرک خورشید هشتم
334,Lorengau,PG,80.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
339,Takoradi,GH,75.85,clear sky,4.8845,-1.7554,Raybow International Hotel
349,San Policarpo,PH,80.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
354,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Green leaf
356,Tirumullaivasal,IN,79.63,overcast clouds,11.2333,79.8333,AMEEN HOUSE
358,Tezu,IN,75.34,few clouds,27.9167,96.1667,Circuit House
359,Sur,OM,80.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
362,Jiazi,CN,77.88,broken clouds,22.8779,116.067,Hotel Jin Hao
364,Santiago Del Estero,AR,76.55,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
367,Honiara,SB,76.55,clear sky,-9.4333,159.95,Heritage Park Hotel
371,Azare,NG,80.47,few clouds,11.6765,10.1948,Mallam Ayuba Compound
372,Ajdabiya,LY,84.56,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
376,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
377,Marsa Matruh,EG,82.54,clear sky,31.3525,27.2453,Beau Site
379,Sabang,ID,79.38,light rain,5.8933,95.3214,Hotel Citra
382,Quepos,CR,81.93,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
383,Itoman,JP,78.82,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
385,Pontian Kecil,MY,78.12,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
389,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
391,Chico,US,85.64,clear sky,39.7285,-121.8375,Quality Inn Near Chico State
397,Erdemli,TR,81.16,clear sky,36.605,34.3084,Sun Rice Otel
400,Labuan,MY,82.0,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
408,Harper,LR,76.51,few clouds,4.375,-7.7169,Screensaver
411,Akyab,MM,81.32,very heavy rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
414,Mitsamiouli,KM,75.72,few clouds,-11.3847,43.2844,Foyer ADM
419,Kendari,ID,76.21,moderate rain,-3.945,122.4989,Hotel Wixel
420,Bontang,ID,77.16,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
426,Pundaguitan,PH,82.78,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
427,Mecca,SA,88.02,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
429,North Platte,US,80.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
435,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
441,Hollister,US,86.07,clear sky,36.8525,-121.4016,Hollister Inn
442,Mawlaik,MM,77.72,broken clouds,23.6333,94.4167,AKZ Guest House
445,Barmer,IN,84.15,few clouds,25.75,71.3833,Jain Dharamshala
454,Tomatlan,MX,89.42,few clouds,19.9333,-105.25,El Salvial
457,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
460,Kothi,IN,78.93,clear sky,24.75,80.7833,KILA THE HERITAGE PALACE
462,Katherine,AU,79.12,few clouds,-14.4667,132.2667,Pine Tree Motel
465,Kandrian,PG,76.64,overcast clouds,-6.2167,149.55,Kandrian Station
467,Cabo San Lucas,MX,89.91,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
468,Kapoeta,SS,83.05,overcast clouds,4.7717,33.5903,Eastgate Hotel
469,Canon City,US,86.16,clear sky,38.441,-105.2424,Travel Inn Motel
470,Luangwa,ZM,75.56,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
472,Kalianget,ID,81.5,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
474,Parrita,CR,82.78,broken clouds,9.5201,-84.3225,Beso del Viento
476,Tabas,IR,82.67,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
484,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
485,Naraina,IN,81.05,scattered clouds,26.7833,75.2,Acharya Shri Jayant Satsang Bhavan
491,Monte Alegre De Minas,BR,84.15,overcast clouds,-18.8706,-48.8808,Hotel Via Hotel
498,Bulalacao,PH,79.59,heavy intensity rain,12.3254,121.3435,By The Sea Hotels
506,Rengali,IN,76.78,overcast clouds,21.6333,84.05,Ayush tiffin
510,Ibra,OM,79.03,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
511,Trelew,AR,79.74,clear sky,-43.249,-65.3051,Hotel Touring Club
514,Caborca,MX,79.05,overcast clouds,30.5838,-111.101,Hotel Los Lagos
516,Jasper,US,76.1,clear sky,37.2001,-94.3502,Guest House Motel
518,Nazare,BR,81.14,few clouds,-13.035,-39.0144,Hotel Victória Réghia
524,Dwarka,IN,80.44,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
526,Ternate,ID,80.02,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
529,Wanning,CN,78.6,overcast clouds,18.8003,110.3967,Paradise Hotel
530,Houma,US,75.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
531,Maragogi,BR,78.4,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
533,Bandarban,BD,76.23,overcast clouds,22.1965,92.2262,HOTEL PLAZA BANDARBAN
536,Moussoro,TD,88.25,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
540,San Buenaventura,MX,83.32,few clouds,27.0833,-101.5333,Hotel Gran Plaza
542,Dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
545,Matamoros,MX,78.91,few clouds,25.5333,-103.25,Quinta Belem
546,Mundra,IN,80.44,few clouds,22.85,69.7333,Hotel Bansidhar Palace
547,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
553,Banda Aceh,ID,77.11,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
554,Essau,GM,82.56,overcast clouds,13.4839,-16.5347,Jawara kunda
561,Sirsa,IN,80.6,clear sky,29.5333,75.0167,OYO 48542 Hotel Capital
563,Magaria,NE,88.02,clear sky,12.9983,8.9099,Chez Honorable Chapiou
565,Pitiquito,MX,79.52,overcast clouds,30.7,-112.0833,La Víspera
567,Portobelo,PA,83.95,broken clouds,9.55,-79.65,Scuba Portobelo
569,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
570,Garissa,KE,76.93,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
571,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
573,Muisne,EC,77.29,broken clouds,0.6,-80.0333,Quinta Samay
575,Manokwari,ID,77.94,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
576,Northport,US,75.25,clear sky,33.229,-87.5772,Hotel Capstone
577,Morondava,MG,76.35,clear sky,-20.2833,44.2833,La Case Bambou
579,Raigarh,IN,75.47,broken clouds,21.9,83.4,Hotel Shivam
582,Auki,SB,75.99,few clouds,-8.7676,160.7034,Auki Motel
585,Samarai,PG,80.78,clear sky,-10.6167,150.6667,Nuli Sapi
586,Kieta,PG,76.84,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
587,Robertsport,LR,75.92,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
597,Itambacuri,BR,83.16,overcast clouds,-18.0311,-41.685,Pousada Bela
600,Caravelas,BR,79.3,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
602,Nuevo Progreso,MX,84.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
603,Galle,LK,78.91,overcast clouds,6.0367,80.217,Amangalla
607,Guymon,US,89.6,few clouds,36.6828,-101.4816,Simple Rewards
613,Chilmari,BD,81.59,broken clouds,25.5559,89.6715,Wadud mondol Vila
617,Pilar,BR,80.53,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
623,Phan Thiet,VN,76.68,overcast clouds,10.9333,108.1,Hotel Saigon-PT
625,Arkadelphia,US,75.58,clear sky,34.1209,-93.0538,COLLEGE INN MOTEL
629,Iracoubo,GF,83.48,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
638,Bocas Del Toro,PA,83.79,few clouds,9.3333,-82.25,Hotel Bocas del Toro
639,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
643,Netanya,IL,79.95,clear sky,32.3329,34.8599,King Koresh Hotel
648,Espanola,US,78.96,overcast clouds,35.9911,-106.0806,Santa Claran Hotel Casino
652,Tabou,CI,76.33,clear sky,4.423,-7.3528,hotêl doufoulougou
653,Doaba,PK,77.34,clear sky,33.4244,70.7364,mian hayat khan
654,Foam Lake,CA,77.02,clear sky,51.65,-103.5343,Foam Lake Campground
658,Linhares,BR,75.31,overcast clouds,-19.3911,-40.0722,Hotel Conceição
659,Altagracia De Orituco,VE,76.66,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
665,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
666,Les Cayes,HT,84.22,overcast clouds,18.2,-73.75,Villa Orphee
674,Mabaruma,GY,84.22,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
675,Nishihara,JP,78.08,clear sky,26.1842,127.7558,Minshuku Agaihama
676,Tautira,PF,76.93,clear sky,-17.7333,-149.15,Pension Oaoa
680,Villa Bruzual,VE,86.68,overcast clouds,9.3328,-69.1208,hotel italia
681,Behshahr,IR,75.15,clear sky,36.6923,53.5526,Abbas Abad Hotel & Restaurant
685,Palauig,PH,79.12,broken clouds,15.435,119.9045,Villa Raphael Resort
689,Nogales,MX,78.37,broken clouds,31.3086,-110.9422,Siesta Motel
